#12_ElapsedTime,#12_TrackStatus,#12_PIC,#12_Driver,#12_Gap,#12_LapNumber,#12_LapTime,#12_S1,#12_S2,#12_S3,#12_StintLapNumber,#12_BPit,#12_PitIn,#12_PitOut,#12_AirTemp,#12_TrackTemp,#12_WindDir,#12_vWind,,,#38_ElapsedTime,#38_TrackStatus,#38_PIC,#38_Driver,#38_Gap,#38_LapNumber,#38_LapTime,#38_S1,#38_S2,#38_S3,#38_StintLapNumber,#38_BPit,#38_PitIn,#38_PitOut,#38_AirTemp,#38_TrackTemp,#38_WindDir,#38_vWind,,,#17_ElapsedTime,#17_TrackStatus,#17_PIC,#17_Driver,#17_Gap,#17_LapNumber,#17_LapTime,#17_S1,#17_S2,#17_S3,#17_StintLapNumber,#17_BPit,#17_PitIn,#17_PitOut,#17_AirTemp,#17_TrackTemp,#17_WindDir,#17_vWind,,,#19_ElapsedTime,#19_TrackStatus,#19_PIC,#19_Driver,#19_Gap,#19_LapNumber,#19_LapTime,#19_S1,#19_S2,#19_S3,#19_StintLapNumber,#19_BPit,#19_PitIn,#19_PitOut,#19_AirTemp,#19_TrackTemp,#19_WindDir,#19_vWind,,,#7_ElapsedTime,#7_TrackStatus,#7_PIC,#7_Driver,#7_Gap,#7_LapNumber,#7_LapTime,#7_S1,#7_S2,#7_S3,#7_StintLapNumber,#7_BPit,#7_PitIn,#7_PitOut,#7_AirTemp,#7_TrackTemp,#7_WindDir,#7_vWind,,,#8_ElapsedTime,#8_TrackStatus,#8_PIC,#8_Driver,#8_Gap,#8_LapNumber,#8_LapTime,#8_S1,#8_S2,#8_S3,#8_StintLapNumber,#8_BPit,#8_PitIn,#8_PitOut,#8_AirTemp,#8_TrackTemp,#8_WindDir,#8_vWind,,,#15_ElapsedTime,#15_TrackStatus,#15_PIC,#15_Driver,#15_Gap,#15_LapNumber,#15_LapTime,#15_S1,#15_S2,#15_S3,#15_StintLapNumber,#15_BPit,#15_PitIn,#15_PitOut,#15_AirTemp,#15_TrackTemp,#15_WindDir,#15_vWind,,,#20_ElapsedTime,#20_TrackStatus,#20_PIC,#20_Driver,#20_Gap,#20_LapNumber,#20_LapTime,#20_S1,#20_S2,#20_S3,#20_StintLapNumber,#20_BPit,#20_PitIn,#20_PitOut,#20_AirTemp,#20_TrackTemp,#20_WindDir,#20_vWind,,,#35_ElapsedTime,#35_TrackStatus,#35_PIC,#35_Driver,#35_Gap,#35_LapNumber,#35_LapTime,#35_S1,#35_S2,#35_S3,#35_StintLapNumber,#35_BPit,#35_PitIn,#35_PitOut,#35_AirTemp,#35_TrackTemp,#35_WindDir,#35_vWind,,,#36_ElapsedTime,#36_TrackStatus,#36_PIC,#36_Driver,#36_Gap,#36_LapNumber,#36_LapTime,#36_S1,#36_S2,#36_S3,#36_StintLapNumber,#36_BPit,#36_PitIn,#36_PitOut,#36_AirTemp,#36_TrackTemp,#36_WindDir,#36_vWind,,,#50_ElapsedTime,#50_TrackStatus,#50_PIC,#50_Driver,#50_Gap,#50_LapNumber,#50_LapTime,#50_S1,#50_S2,#50_S3,#50_StintLapNumber,#50_BPit,#50_PitIn,#50_PitOut,#50_AirTemp,#50_TrackTemp,#50_WindDir,#50_vWind,,,#51_ElapsedTime,#51_TrackStatus,#51_PIC,#51_Driver,#51_Gap,#51_LapNumber,#51_LapTime,#51_S1,#51_S2,#51_S3,#51_StintLapNumber,#51_BPit,#51_PitIn,#51_PitOut,#51_AirTemp,#51_TrackTemp,#51_WindDir,#51_vWind,,,#83_ElapsedTime,#83_TrackStatus,#83_PIC,#83_Driver,#83_Gap,#83_LapNumber,#83_LapTime,#83_S1,#83_S2,#83_S3,#83_StintLapNumber,#83_BPit,#83_PitIn,#83_PitOut,#83_AirTemp,#83_TrackTemp,#83_WindDir,#83_vWind,,,#93_ElapsedTime,#93_TrackStatus,#93_PIC,#93_Driver,#93_Gap,#93_LapNumber,#93_LapTime,#93_S1,#93_S2,#93_S3,#93_StintLapNumber,#93_BPit,#93_PitIn,#93_PitOut,#93_AirTemp,#93_TrackTemp,#93_WindDir,#93_vWind,,,#94_ElapsedTime,#94_TrackStatus,#94_PIC,#94_Driver,#94_Gap,#94_LapNumber,#94_LapTime,#94_S1,#94_S2,#94_S3,#94_StintLapNumber,#94_BPit,#94_PitIn,#94_PitOut,#94_AirTemp,#94_TrackTemp,#94_WindDir,#94_vWind,,,#1007_ElapsedTime,#1007_TrackStatus,#1007_PIC,#1007_Driver,#1007_Gap,#1007_LapNumber,#1007_LapTime,#1007_S1,#1007_S2,#1007_S3,#1007_StintLapNumber,#1007_BPit,#1007_PitIn,#1007_PitOut,#1007_AirTemp,#1007_TrackTemp,#1007_WindDir,#1007_vWind,,,#1009_ElapsedTime,#1009_TrackStatus,#1009_PIC,#1009_Driver,#1009_Gap,#1009_LapNumber,#1009_LapTime,#1009_S1,#1009_S2,#1009_S3,#1009_StintLapNumber,#1009_BPit,#1009_PitIn,#1009_PitOut,#1009_AirTemp,#1009_TrackTemp,#1009_WindDir,#1009_vWind,,,#101_ElapsedTime,#101_TrackStatus,#101_PIC,#101_Driver,#101_Gap,#101_LapNumber,#101_LapTime,#101_S1,#101_S2,#101_S3,#101_StintLapNumber,#101_BPit,#101_PitIn,#101_PitOut,#101_AirTemp,#101_TrackTemp,#101_WindDir,#101_vWind
235.755,Green,12.0,Norman NATO,1.0,1.0,219.649,,14.639,17.938,1.0,,,,19.7,27.3,277.0,10.0,,,243.846,Green,5.0,Earl BAMBER,1.0,1.0,224.021,,13.82,18.726,1.0,,,,19.7,27.3,277.0,10.0,,,247.938,Green,10.0,André LOTTERER,1.0,1.0,223.146,,14.74,18.338,1.0,,,,19.7,27.3,277.0,10.0,,,256.65,Green,9.0,Mathieu JAMINET,1.0,1.0,229.873,,14.808,18.904,1.0,,,,19.7,27.2,242.0,13.0,,,227.471,Green,2.0,Kamui KOBAYASHI,1.0,1.0,218.841,,13.389,17.584,1.0,,,,19.7,27.3,277.0,10.0,,,232.139,Green,1.0,Ryo HIRAKAWA,1.0,1.0,221.317,,14.078,17.558,1.0,,,,19.7,27.3,277.0,10.0,,,219.22,Green,11.0,Raffaele MARCIELLO,1.0,1.0,214.452,,13.249,16.99,1.0,,,,19.7,27.3,277.0,10.0,,,224.13,Green,8.0,Sheldon VAN DER LINDE,1.0,1.0,217.823,,13.028,16.85,1.0,,,,19.7,27.3,277.0,10.0,,,254.182,Green,7.0,Charles MILESI,1.0,1.0,226.792,,14.626,17.986,1.0,,,,19.7,27.2,242.0,13.0,,,258.549,Green,6.0,Jules GOUNON,1.0,1.0,230.071,,14.36,18.572,1.0,,,,19.7,27.2,242.0,13.0,,,251.6,Green,4.0,Antonio FUOCO,1.0,1.0,226.012,,15.056,18.586,1.0,,,,19.7,27.2,242.0,13.0,,,239.04,Green,3.0,Antonio GIOVINAZZI,1.0,1.0,225.344,,15.042,19.147,1.0,,,,19.7,27.3,277.0,10.0,,,100.0,Green,14.0,83 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,15.0,93 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,16.0,94 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,263.329,Green,15.0,Ross GUNN,1.0,1.0,232.539,,13.773,18.048,1.0,,,,19.7,27.2,242.0,13.0,,,261.03,Green,14.0,Marco SØRENSEN,1.0,1.0,231.275,,14.397,18.112,1.0,,,,19.7,27.2,242.0,13.0,,,245.903,Green,13.0,Ricky TAYLOR,1.0,1.0,224.568,,14.459,18.724,1.0,,,,19.7,27.3,277.0,10.0
440.551,Green,5.0,Norman NATO,,2.0,204.796,7.998,9.845,14.455,2.0,,,,19.7,27.1,234.0,7.0,,,447.579,Green,1.0,Earl BAMBER,,2.0,203.733,7.994,9.879,14.377,2.0,,,,19.7,27.1,234.0,7.0,,,452.409,Green,3.0,Mathys JAUBERT,,2.0,204.471,8.036,10.157,14.676,2.0,,,,19.7,27.1,234.0,7.0,,,460.615,Green,2.0,Mathieu JAMINET,0.232,2.0,203.965,8.053,9.85,14.479,2.0,,,,19.7,27.1,234.0,7.0,,,432.153,Green,3.0,Kamui KOBAYASHI,0.949,2.0,204.682,8.027,9.992,14.382,2.0,,,,19.7,27.1,234.0,7.0,,,436.717,Green,2.0,Ryo HIRAKAWA,0.845,2.0,204.578,8.021,9.82,14.36,2.0,,,,19.7,27.1,234.0,7.0,,,423.775,Green,1.0,Raffaele MARCIELLO,0.822,2.0,204.555,8.035,9.918,14.527,2.0,,,,19.8,27.1,244.0,8.0,,,428.724,Green,2.0,Sheldon VAN DER LINDE,0.861,2.0,204.594,8.016,9.934,14.593,2.0,,,,19.8,27.1,244.0,8.0,,,458.434,Green,3.0,Charles MILESI,0.519,2.0,204.252,8.009,9.937,14.573,2.0,,,,19.7,27.1,234.0,7.0,,,463.04,Green,6.0,Jules GOUNON,0.758,2.0,204.491,7.981,9.772,14.599,2.0,,,,19.7,27.1,234.0,7.0,,,456.603,Green,10.0,Antonio FUOCO,1.27,2.0,205.003,8.052,10.032,14.478,2.0,,,,19.7,27.1,234.0,7.0,,,443.873,Green,6.0,Antonio GIOVINAZZI,1.1,2.0,204.833,8.057,9.957,14.599,2.0,,,,19.7,27.1,234.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.277,Green,13.0,Ross GUNN,1.215,2.0,204.948,7.998,10.101,14.556,2.0,,,,19.7,27.1,234.0,7.0,,,466.67,Green,14.0,Marco SØRENSEN,1.907,2.0,205.64,7.982,10.206,14.612,2.0,,,,19.7,27.1,234.0,7.0,,,450.043,Green,2.0,Ricky TAYLOR,0.407,2.0,204.14,7.983,9.852,14.475,2.0,,,,19.7,27.1,234.0,7.0
652.007,Green,12.0,Norman NATO,0.152,3.0,211.456,8.014,9.593,14.492,3.0,1.0,643.723,,19.7,27.0,242.0,9.0,,,658.909,Green,1.0,Earl BAMBER,0.0,3.0,211.33,7.981,9.86,14.496,3.0,1.0,650.639,,19.7,27.0,242.0,9.0,,,664.605,Green,7.0,Mathys JAUBERT,0.167,3.0,212.196,8.112,9.711,14.484,3.0,1.0,656.243,,19.7,27.0,242.0,9.0,,,673.321,Green,2.0,Mathieu JAMINET,0.232,3.0,212.706,8.074,9.741,14.567,3.0,1.0,664.906,,19.7,27.0,245.0,10.0,,,636.421,Green,6.0,Kamui KOBAYASHI,0.535,3.0,204.268,8.068,9.779,14.335,3.0,,,,19.7,27.0,242.0,9.0,,,660.462,Green,9.0,Ryo HIRAKAWA,0.845,3.0,223.745,8.053,9.911,14.512,3.0,1.0,652.135,,19.7,27.0,242.0,9.0,,,627.806,Green,3.0,Raffaele MARCIELLO,0.822,3.0,204.031,8.021,9.82,14.528,3.0,,,,19.7,27.0,242.0,9.0,,,640.68,Green,10.0,Sheldon VAN DER LINDE,0.861,3.0,211.956,8.092,9.796,14.461,3.0,1.0,632.271,,19.7,27.0,242.0,9.0,,,669.227,Green,4.0,Charles MILESI,0.519,3.0,210.793,8.01,9.889,14.483,3.0,1.0,660.984,,19.7,27.0,242.0,9.0,,,674.562,Green,8.0,Jules GOUNON,0.758,3.0,211.522,8.055,9.762,14.688,3.0,1.0,666.299,,19.7,27.0,245.0,10.0,,,660.907,Green,6.0,Antonio FUOCO,0.571,3.0,204.304,8.063,9.872,14.359,3.0,,,,19.7,27.0,242.0,9.0,,,648.517,Green,11.0,Antonio GIOVINAZZI,0.911,3.0,204.644,8.033,9.913,14.512,3.0,,,,19.7,27.0,242.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.811,Green,14.0,Ross GUNN,1.215,3.0,213.534,8.0,10.075,14.671,3.0,1.0,673.532,,19.7,27.0,245.0,10.0,,,680.405,Green,15.0,Marco SØRENSEN,1.907,3.0,213.735,8.014,9.841,14.258,3.0,1.0,672.119,,19.7,27.0,245.0,10.0,,,661.892,Green,3.0,Ricky TAYLOR,0.407,3.0,211.849,8.002,9.823,14.597,3.0,1.0,653.635,,19.7,27.0,242.0,9.0
915.222,Green,13.0,Norman NATO,0.152,4.0,263.215,55.367,12.937,16.652,1.0,,,702.024,19.6,26.8,257.0,8.0,,,922.402,Green,1.0,Earl BAMBER,0.0,4.0,263.493,51.458,14.375,18.81,1.0,,,704.858,19.6,26.8,257.0,8.0,,,928.587,Green,7.0,Mathys JAUBERT,0.167,4.0,263.982,52.555,14.258,17.611,1.0,,,710.678,19.6,26.8,257.0,8.0,,,1097.901,Green,2.0,Mathieu JAMINET,0.839,4.0,424.58,216.274,13.522,16.765,1.0,,,884.152,19.6,26.6,251.0,9.0,,,849.569,Green,5.0,Kamui KOBAYASHI,1.022,4.0,213.148,8.057,9.791,14.446,4.0,1.0,841.18,,19.7,26.8,293.0,7.0,,,936.25,Green,10.0,Ryo HIRAKAWA,1.452,4.0,275.788,63.746,13.247,16.996,1.0,,,718.992,19.6,26.8,257.0,8.0,,,839.069,Green,9.0,Raffaele MARCIELLO,0.822,4.0,211.263,8.045,9.748,14.489,4.0,1.0,830.674,,19.7,26.8,293.0,7.0,,,905.305,Green,11.0,Sheldon VAN DER LINDE,0.861,4.0,264.625,58.734,13.364,17.165,1.0,,,693.684,19.7,26.8,296.0,8.0,,,938.421,Green,4.0,Charles MILESI,1.126,4.0,269.194,58.19,12.906,16.497,1.0,,,722.092,19.6,26.8,257.0,8.0,,,941.356,Green,8.0,Jules GOUNON,1.365,4.0,266.794,55.308,12.732,16.753,1.0,,,724.592,19.6,26.8,257.0,8.0,,,872.492,Green,6.0,Antonio FUOCO,1.178,4.0,211.585,8.072,9.865,14.466,4.0,1.0,864.18,,19.7,26.8,296.0,8.0,,,862.592,Green,12.0,Antonio GIOVINAZZI,1.518,4.0,214.075,8.034,9.965,14.717,4.0,1.0,854.257,,19.7,26.8,296.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.125,Green,14.0,Ross GUNN,1.822,4.0,268.314,60.416,12.826,16.884,1.0,,,736.502,19.6,26.8,257.0,8.0,,,947.123,Green,15.0,Marco SØRENSEN,2.514,4.0,266.718,58.727,13.218,16.842,1.0,,,733.616,19.6,26.8,257.0,8.0,,,932.521,Green,3.0,Ricky TAYLOR,1.014,4.0,270.629,51.612,14.556,19.264,1.0,,,707.99,19.6,26.8,257.0,8.0
1118.95,Green,2.0,Norman NATO,0.152,5.0,203.728,8.0,9.866,14.439,2.0,,,,19.6,26.6,251.0,9.0,,,1125.589,Green,1.0,Earl BAMBER,0.005,5.0,203.187,7.989,9.819,14.403,2.0,,,,19.6,26.6,251.0,9.0,,,1131.713,Green,1.0,Mathys JAUBERT,0.167,5.0,203.126,8.055,9.784,14.406,2.0,,,,19.6,26.6,251.0,9.0,,,1301.544,Finish,5.0,Mathieu JAMINET,0.625,5.0,203.643,8.03,10.033,14.391,2.0,,,,19.6,26.5,308.0,7.0,,,1110.92,Green,6.0,Kamui KOBAYASHI,1.142,5.0,261.351,51.973,13.334,17.034,1.0,,,896.007,19.6,26.6,251.0,9.0,,,1141.316,Green,12.0,Ryo HIRAKAWA,1.56,5.0,205.066,8.035,9.932,14.429,2.0,,,,19.6,26.6,251.0,9.0,,,1094.096,Green,9.0,Raffaele MARCIELLO,1.429,5.0,255.027,46.789,13.21,17.24,1.0,,,880.767,19.6,26.6,251.0,9.0,,,1108.551,Green,1.0,Sheldon VAN DER LINDE,0.12,5.0,203.246,8.006,9.799,14.454,2.0,,,,19.6,26.6,251.0,9.0,,,1149.038,Green,8.0,Charles MILESI,1.161,5.0,210.617,7.986,10.26,18.602,2.0,,,,19.6,26.6,251.0,9.0,,,1145.478,Green,6.0,Jules GOUNON,1.104,5.0,204.122,7.968,9.691,14.602,2.0,,,,19.6,26.6,251.0,9.0,,,1144.774,Green,9.0,Antonio FUOCO,1.213,5.0,272.282,58.271,13.82,18.012,1.0,,,925.002,19.6,26.6,251.0,9.0,,,1135.555,Green,13.0,Antonio GIOVINAZZI,1.553,5.0,272.963,56.764,13.886,18.279,1.0,,,913.573,19.6,26.6,251.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.129,Green,7.0,Ross GUNN,0.986,5.0,204.004,7.981,9.849,14.398,2.0,,,,19.6,26.6,240.0,9.0,,,1151.114,Green,6.0,Marco SØRENSEN,0.973,5.0,203.991,7.982,9.871,14.308,2.0,,,,19.6,26.6,240.0,9.0,,,1140.57,Green,6.0,Ricky TAYLOR,1.049,5.0,208.049,8.011,10.509,15.154,2.0,,,,19.6,26.6,251.0,9.0
1322.262,Finish,5.0,Norman NATO,0.085,6.0,203.312,8.013,9.571,14.397,3.0,,,,19.6,26.5,308.0,7.0,,,1328.68,Finish,1.0,Earl BAMBER,0.061,6.0,203.091,7.996,9.624,14.384,3.0,,,,19.6,26.5,308.0,7.0,,,1392.965,Finish,3.0,Mathys JAUBERT,0.035,6.0,261.252,8.657,12.363,16.727,3.0,1.0,1384.551,,19.6,26.5,310.0,8.0,,,,,,,,,,,,,,1.0,1570.568,,,,,,,,1314.482,Finish,12.0,Kamui KOBAYASHI,1.25,6.0,203.562,7.979,9.768,14.241,2.0,,,,19.6,26.5,308.0,7.0,,,1394.798,Finish,15.0,Ryo HIRAKAWA,1.56,6.0,253.482,8.012,10.207,15.187,3.0,1.0,1386.469,,19.6,26.5,310.0,8.0,,,1297.376,Finish,4.0,Raffaele MARCIELLO,0.262,6.0,203.28,7.99,9.884,14.251,2.0,,,,19.6,26.5,308.0,7.0,,,1325.216,Finish,3.0,Sheldon VAN DER LINDE,0.228,6.0,216.665,8.012,9.796,14.467,3.0,1.0,1316.804,,19.6,26.5,308.0,7.0,,,1352.056,Finish,1.0,Charles MILESI,0.0,6.0,203.018,7.994,9.78,14.512,3.0,,,,19.5,26.5,292.0,9.0,,,1364.658,Finish,13.0,Jules GOUNON,1.104,6.0,219.18,7.929,10.05,15.327,3.0,1.0,1356.386,,19.5,26.5,292.0,9.0,,,1348.879,Finish,11.0,Antonio FUOCO,1.087,6.0,204.105,8.016,10.028,14.443,2.0,,,,19.5,26.5,292.0,9.0,,,1338.961,Finish,6.0,Antonio GIOVINAZZI,0.388,6.0,203.406,7.995,9.862,14.482,2.0,,,,19.5,26.5,292.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.636,Finish,11.0,Ross GUNN,0.986,6.0,218.507,8.087,9.955,14.739,3.0,1.0,1364.348,,19.5,26.5,292.0,9.0,,,1375.87,Finish,10.0,Marco SØRENSEN,0.973,6.0,224.756,8.006,9.941,15.06,3.0,1.0,1367.592,,19.5,26.5,292.0,9.0,,,1343.761,Finish,3.0,Ricky TAYLOR,0.173,6.0,203.191,7.975,9.702,14.493,3.0,,,,19.5,26.5,292.0,9.0
,,,,0.032,,,,,,,1.0,1535.995,,,,,,,,,,,,0.073,,,,,,,1.0,1538.304,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1562.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1531.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1597.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1594.235,,,,,,,,,,,,,,,,,,,1.0,1563.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1565.061,,,,,
