#12_ElapsedTime,#12_TrackStatus,#12_PIC,#12_Driver,#12_Gap,#12_LapNumber,#12_LapTime,#12_S1,#12_S2,#12_S3,#12_StintLapNumber,#12_BPit,#12_PitIn,#12_PitOut,#12_AirTemp,#12_TrackTemp,#12_WindDir,#12_vWind,,,#38_ElapsedTime,#38_TrackStatus,#38_PIC,#38_Driver,#38_Gap,#38_LapNumber,#38_LapTime,#38_S1,#38_S2,#38_S3,#38_StintLapNumber,#38_BPit,#38_PitIn,#38_PitOut,#38_AirTemp,#38_TrackTemp,#38_WindDir,#38_vWind,,,#17_ElapsedTime,#17_TrackStatus,#17_PIC,#17_Driver,#17_Gap,#17_LapNumber,#17_LapTime,#17_S1,#17_S2,#17_S3,#17_StintLapNumber,#17_BPit,#17_PitIn,#17_PitOut,#17_AirTemp,#17_TrackTemp,#17_WindDir,#17_vWind,,,#19_ElapsedTime,#19_TrackStatus,#19_PIC,#19_Driver,#19_Gap,#19_LapNumber,#19_LapTime,#19_S1,#19_S2,#19_S3,#19_StintLapNumber,#19_BPit,#19_PitIn,#19_PitOut,#19_AirTemp,#19_TrackTemp,#19_WindDir,#19_vWind,,,#7_ElapsedTime,#7_TrackStatus,#7_PIC,#7_Driver,#7_Gap,#7_LapNumber,#7_LapTime,#7_S1,#7_S2,#7_S3,#7_StintLapNumber,#7_BPit,#7_PitIn,#7_PitOut,#7_AirTemp,#7_TrackTemp,#7_WindDir,#7_vWind,,,#8_ElapsedTime,#8_TrackStatus,#8_PIC,#8_Driver,#8_Gap,#8_LapNumber,#8_LapTime,#8_S1,#8_S2,#8_S3,#8_StintLapNumber,#8_BPit,#8_PitIn,#8_PitOut,#8_AirTemp,#8_TrackTemp,#8_WindDir,#8_vWind,,,#15_ElapsedTime,#15_TrackStatus,#15_PIC,#15_Driver,#15_Gap,#15_LapNumber,#15_LapTime,#15_S1,#15_S2,#15_S3,#15_StintLapNumber,#15_BPit,#15_PitIn,#15_PitOut,#15_AirTemp,#15_TrackTemp,#15_WindDir,#15_vWind,,,#20_ElapsedTime,#20_TrackStatus,#20_PIC,#20_Driver,#20_Gap,#20_LapNumber,#20_LapTime,#20_S1,#20_S2,#20_S3,#20_StintLapNumber,#20_BPit,#20_PitIn,#20_PitOut,#20_AirTemp,#20_TrackTemp,#20_WindDir,#20_vWind,,,#35_ElapsedTime,#35_TrackStatus,#35_PIC,#35_Driver,#35_Gap,#35_LapNumber,#35_LapTime,#35_S1,#35_S2,#35_S3,#35_StintLapNumber,#35_BPit,#35_PitIn,#35_PitOut,#35_AirTemp,#35_TrackTemp,#35_WindDir,#35_vWind,,,#36_ElapsedTime,#36_TrackStatus,#36_PIC,#36_Driver,#36_Gap,#36_LapNumber,#36_LapTime,#36_S1,#36_S2,#36_S3,#36_StintLapNumber,#36_BPit,#36_PitIn,#36_PitOut,#36_AirTemp,#36_TrackTemp,#36_WindDir,#36_vWind,,,#50_ElapsedTime,#50_TrackStatus,#50_PIC,#50_Driver,#50_Gap,#50_LapNumber,#50_LapTime,#50_S1,#50_S2,#50_S3,#50_StintLapNumber,#50_BPit,#50_PitIn,#50_PitOut,#50_AirTemp,#50_TrackTemp,#50_WindDir,#50_vWind,,,#51_ElapsedTime,#51_TrackStatus,#51_PIC,#51_Driver,#51_Gap,#51_LapNumber,#51_LapTime,#51_S1,#51_S2,#51_S3,#51_StintLapNumber,#51_BPit,#51_PitIn,#51_PitOut,#51_AirTemp,#51_TrackTemp,#51_WindDir,#51_vWind,,,#83_ElapsedTime,#83_TrackStatus,#83_PIC,#83_Driver,#83_Gap,#83_LapNumber,#83_LapTime,#83_S1,#83_S2,#83_S3,#83_StintLapNumber,#83_BPit,#83_PitIn,#83_PitOut,#83_AirTemp,#83_TrackTemp,#83_WindDir,#83_vWind,,,#93_ElapsedTime,#93_TrackStatus,#93_PIC,#93_Driver,#93_Gap,#93_LapNumber,#93_LapTime,#93_S1,#93_S2,#93_S3,#93_StintLapNumber,#93_BPit,#93_PitIn,#93_PitOut,#93_AirTemp,#93_TrackTemp,#93_WindDir,#93_vWind,,,#94_ElapsedTime,#94_TrackStatus,#94_PIC,#94_Driver,#94_Gap,#94_LapNumber,#94_LapTime,#94_S1,#94_S2,#94_S3,#94_StintLapNumber,#94_BPit,#94_PitIn,#94_PitOut,#94_AirTemp,#94_TrackTemp,#94_WindDir,#94_vWind,,,#1007_ElapsedTime,#1007_TrackStatus,#1007_PIC,#1007_Driver,#1007_Gap,#1007_LapNumber,#1007_LapTime,#1007_S1,#1007_S2,#1007_S3,#1007_StintLapNumber,#1007_BPit,#1007_PitIn,#1007_PitOut,#1007_AirTemp,#1007_TrackTemp,#1007_WindDir,#1007_vWind,,,#1009_ElapsedTime,#1009_TrackStatus,#1009_PIC,#1009_Driver,#1009_Gap,#1009_LapNumber,#1009_LapTime,#1009_S1,#1009_S2,#1009_S3,#1009_StintLapNumber,#1009_BPit,#1009_PitIn,#1009_PitOut,#1009_AirTemp,#1009_TrackTemp,#1009_WindDir,#1009_vWind,,,#101_ElapsedTime,#101_TrackStatus,#101_PIC,#101_Driver,#101_Gap,#101_LapNumber,#101_LapTime,#101_S1,#101_S2,#101_S3,#101_StintLapNumber,#101_BPit,#101_PitIn,#101_PitOut,#101_AirTemp,#101_TrackTemp,#101_WindDir,#101_vWind
283.895,Green,8.0,Will STEVENS,1.0,1.0,220.145,,14.133,17.746,1.0,,,,19.2,25.8,259.0,10.0,,,215.439,Green,2.0,Jack AITKEN,1.0,1.0,211.694,,11.027,14.669,1.0,1.0,207.165,,19.2,25.8,267.0,11.0,,,230.027,Green,6.0,André LOTTERER,1.0,1.0,218.609,,14.05,15.823,1.0,1.0,221.664,,19.2,25.8,267.0,11.0,,,231.367,Green,5.0,Paul-Loup CHATIN,1.0,1.0,219.124,,13.429,16.695,1.0,1.0,222.989,,19.2,25.8,267.0,11.0,,,100.0,Green,6.0,7 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,7.0,8 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,218.593,Green,7.0,Dries VANTHOOR,1.0,1.0,212.711,,13.875,17.12,1.0,,,,19.2,25.8,267.0,11.0,,,222.022,Green,4.0,Robin FRIJNS,1.0,1.0,214.471,,13.74,17.288,1.0,,,,19.2,25.8,267.0,11.0,,,239.51,Green,3.0,António FÉLIX DA COSTA,1.0,1.0,224.681,,13.399,17.589,1.0,,,,19.2,25.8,267.0,11.0,,,100.0,Green,11.0,36 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,12.0,50 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,227.438,Green,1.0,James CALADO,1.0,1.0,218.603,,13.534,17.6,1.0,,,,19.2,25.8,267.0,11.0,,,100.0,Green,14.0,83 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,15.0,93 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,16.0,94 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,100.0,Green,17.0,007 Driver,1.0,1.0,100.0,,,,1.0,,,,,,,,,,243.713,Green,10.0,Roman DE ANGELIS,1.0,1.0,227.234,,13.975,18.952,1.0,,,,19.2,25.8,267.0,11.0,,,233.99,Green,9.0,Filipe ALBUQUERQUE,1.0,1.0,223.698,,15.343,19.57,1.0,,,,19.2,25.8,267.0,11.0
489.023,Green,4.0,Will STEVENS,,2.0,205.128,8.013,10.123,14.617,2.0,,,,19.2,25.7,135.0,6.0,,,512.011,Green,8.0,Jack AITKEN,,2.0,296.572,83.697,13.859,17.122,1.0,,,293.504,19.2,25.7,222.0,8.0,,,514.492,Green,10.0,André LOTTERER,,2.0,284.465,71.724,13.687,17.05,1.0,,,296.489,19.2,25.7,222.0,8.0,,,522.318,Green,9.0,Paul-Loup CHATIN,,2.0,290.951,76.553,13.911,17.951,1.0,,,302.387,19.2,25.7,222.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.338,Green,1.0,Dries VANTHOOR,0.0,2.0,202.745,7.999,9.72,14.406,2.0,,,,19.2,25.7,315.0,10.0,,,425.937,Green,2.0,Robin FRIJNS,1.17,2.0,203.915,8.003,9.884,14.427,2.0,,,,19.2,25.7,315.0,10.0,,,444.593,Green,3.0,António FÉLIX DA COSTA,2.338,2.0,205.083,7.989,9.999,14.626,2.0,,,,19.2,25.7,135.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.648,Green,3.0,James CALADO,2.465,2.0,205.21,8.06,9.91,14.477,2.0,,,,19.2,25.7,135.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.802,Green,6.0,Roman DE ANGELIS,8.344,2.0,211.089,8.007,9.974,14.472,2.0,,,,19.2,25.7,135.0,6.0,,,441.667,Green,4.0,Filipe ALBUQUERQUE,4.932,2.0,207.677,8.007,10.772,14.857,2.0,,,,19.2,25.7,135.0,6.0
692.36,Green,2.0,Will STEVENS,0.047,3.0,203.337,7.945,9.796,14.449,3.0,,,,19.2,25.6,277.0,7.0,,,718.876,Green,8.0,Jack AITKEN,,3.0,206.865,7.969,9.773,14.414,2.0,,,,19.2,25.6,277.0,7.0,,,734.798,Green,10.0,André LOTTERER,,3.0,220.306,8.09,9.909,14.573,2.0,,,,19.2,25.6,238.0,8.0,,,726.369,Green,5.0,Paul-Loup CHATIN,1.492,3.0,204.051,8.042,9.795,14.33,2.0,,,,19.2,25.6,277.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.124,Green,1.0,Dries VANTHOOR,0.0,3.0,206.786,8.04,9.681,14.335,3.0,,,,19.2,25.6,277.0,10.0,,,635.388,Green,2.0,Robin FRIJNS,1.351,3.0,209.451,8.084,9.343,15.751,3.0,,,,19.2,25.6,277.0,10.0,,,648.447,Green,2.0,António FÉLIX DA COSTA,1.29,3.0,203.854,8.003,9.762,14.42,3.0,,,,19.2,25.6,277.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.729,Green,3.0,James CALADO,2.517,3.0,205.081,8.074,10.015,14.465,3.0,,,,19.2,25.6,277.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.678,Green,5.0,Roman DE ANGELIS,2.312,3.0,204.876,8.021,9.838,14.348,3.0,,,,19.2,25.6,277.0,10.0,,,646.104,Green,3.0,Filipe ALBUQUERQUE,1.873,3.0,204.437,8.007,10.125,14.409,3.0,,,,19.2,25.6,277.0,10.0
895.438,Green,2.0,Will STEVENS,0.773,4.0,203.078,7.965,9.66,14.304,4.0,,,,19.2,25.5,257.0,4.0,,,921.435,Finish,1.0,Jack AITKEN,1.784,4.0,202.559,7.974,9.714,14.366,3.0,,,,19.2,25.5,261.0,2.0,,,940.914,Finish,10.0,André LOTTERER,,4.0,206.116,8.137,10.03,14.574,3.0,,,,19.2,25.5,261.0,2.0,,,930.192,Finish,6.0,Paul-Loup CHATIN,1.264,4.0,203.823,8.093,9.621,14.446,3.0,,,,19.2,25.5,261.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.688,Green,1.0,Dries VANTHOOR,0.005,4.0,202.564,8.006,9.704,14.398,4.0,,,,19.2,25.5,237.0,6.0,,,839.152,Green,3.0,Robin FRIJNS,1.205,4.0,203.764,8.006,9.852,14.438,4.0,,,,19.2,25.5,237.0,6.0,,,852.067,Green,3.0,António FÉLIX DA COSTA,1.061,4.0,203.62,7.984,9.72,14.414,4.0,,,,19.2,25.5,257.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.503,Green,8.0,James CALADO,2.522,4.0,250.774,8.302,11.714,16.895,4.0,1.0,880.16,,19.2,25.5,257.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.407,Green,7.0,Roman DE ANGELIS,2.17,4.0,204.729,8.016,9.764,14.333,4.0,,,,19.2,25.5,257.0,4.0,,,849.943,Green,4.0,Filipe ALBUQUERQUE,1.28,4.0,203.839,8.0,9.965,14.36,4.0,,,,19.2,25.5,237.0,6.0
1124.307,Finish,3.0,Will STEVENS,0.514,5.0,228.869,7.951,9.706,14.589,5.0,1.0,1116.033,,19.1,25.5,226.0,6.0,,,,,,,0.0,,,,,,,1.0,1222.805,,,,,,,,,,,,1.035,,,,,,,1.0,1413.029,,,,,,,,,,,,,,,,,,,1.0,1236.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.097,Finish,2.0,Dries VANTHOOR,0.005,5.0,318.409,7.995,10.562,15.316,5.0,1.0,1140.698,,19.1,25.5,226.0,6.0,,,1067.298,Finish,5.0,Robin FRIJNS,1.205,5.0,228.146,8.051,10.029,15.72,5.0,1.0,1058.904,,19.2,25.5,202.0,3.0,,,1159.965,Finish,4.0,António FÉLIX DA COSTA,1.061,5.0,307.898,8.968,12.231,17.89,5.0,1.0,1151.704,,19.1,25.3,273.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.788,Finish,8.0,Roman DE ANGELIS,2.17,5.0,220.381,8.037,9.93,14.38,5.0,1.0,1076.513,,19.2,25.5,202.0,3.0,,,1053.721,Finish,6.0,Filipe ALBUQUERQUE,1.219,5.0,203.778,7.997,10.108,14.443,5.0,,,,19.2,25.5,202.0,3.0
,,,,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1294.376,,,,,
